dimension	ls_column	category_order	group_order	category	group	pop_up_instruction	tag
vertical	3	110	120	occupation	educators	teachers, educators, academic staff	OCC_EDUCATORS
vertical	3	110	130	occupation	self-employed	freelancers, entrepreneurs, small business owners	OCC_SELF_EMPLOYED
		120	10	other_groups	non-RISS	any social group that falls outside RISS taxonomy: homeowners, tenants, taxpayers, consumers, beneficiaries, social media users, workers in British Laylends (institutionally-defined subgroups)	OTH_NON_RISS
appeal_tags	4	200	10	reasoning	economic	The argument about the group is based primarily on material resources, jobs, wages, skills, productivity, economic performance, taxes, public spending, welfare costs, fiscal sustainability, or economic incentives. Examples: labour shortages, unemployment, wage competition, tax burden, benefit dependency, productivity, growth, public budgets.	REASONING_ECONOMIC
appeal_tags	4	200	20	reasoning	cultural	The argument about the group is based primarily on identity, values, norms, religion, language, traditions, belonging, social cohesion, national identity, cultural compatibility, or symbolic boundaries. Examples: protecting national culture, shared values, integration, family values, social cohesion, who belongs, threats to identity.	REASONING_CULTURAL
appeal_tags	4	200	30	reasoning	both	The argument relies on both economic and cultural reasoning, and neither dimension can be removed without substantially changing the justification. Example: Immigration depresses wages and undermines our way of life., We need skilled migrants to support the economy, but they must adopt our values.	REASONING_BOTH
appeal_tags	4	200	40	reasoning	unclear	The text contains a group appeal, but the reasoning cannot be reliably classified as economic or cultural, or there is insufficient information to determine the primary basis of the argument.	REASONING_UNCLEAR
appeal_tags	4	210	10	polarity	pro-group	The group is presented positively or as deserving support, protection, inclusion, resources, rights, recognition, or improved outcomes. Examples: Immigrants make an important contribution to society., We should invest more in disadvantaged children.	POLARITY_PRO_GROUP
appeal_tags	4	210	20	polarity	anti-group	The group is presented negatively or as deserving criticism, blame, exclusion, restrictions, reduced support, or worse outcomes. Examples: We must restrict access for asylum seekers., Benefits for the unemployed should be reduced.	POLARITY_ANTI_GROUP
appeal_tags	4	210	30	polarity	mixed	The group is framed both positively and negatively, or both supported and restricted, such that no clear overall polarity can be assigned. Use only when neither pro-group nor anti-group clearly dominates. Example: We must support unemployed people, but benefits should be made more conditional.	POLARITY_MIXED
appeal_tags	4	220	10	stance	endorse	The speaker accepts and relies on the group appeal. The group-based reasoning is presented as valid and used to support the argument. Example: Working families are struggling, so they should get tax relief.	STANCE_ENDORSE
appeal_tags	4	220	20	stance	reject	The speaker disputes, rejects, or invalidates the group appeal. The group-based reasoning is presented as incorrect, unfair, or irrelevant. Example: It’s not immigrants causing housing shortages—it’s zoning.	STANCE_REJECT
appeal_tags	4	220	30	stance	partial	The speaker partially accepts the group appeal but limits, modifies, reframes, or contests it. Examples: Immigration may affect wages in some sectors, but it is not the main driver., I agree low-income families need support, but this policy targets the wrong ones.	STANCE_PARTIAL
appeal_tags	4	220	40	stance	unclear	The speaker's stance toward the group appeal cannot be determined.	STANCE_UNCLEAR
